DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CY,2016,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CY,2017,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CY,2018,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CY,2019,1.33,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CY,2020,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2009,1.51,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2010,1.51,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2011,1.43,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2012,1.45,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2013,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2014,1.53,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2015,1.57,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2016,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2017,1.69,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2018,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2019,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,CZ,2020,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2009,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2010,1.39,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2011,1.39,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2012,1.41,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2013,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2014,1.47,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2015,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2016,1.60,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2017,1.57,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2018,1.57,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2019,1.54,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DE,2020,1.53,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2009,1.84,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2010,1.87,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2011,1.75,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2012,1.73,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2013,1.67,
