DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2015,13793,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2016,14020,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2017,14497,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2018,15336,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2019,16215,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CY,2020,16704,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2012,7791,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2013,7694,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2014,7622,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2015,7423,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2016,7838,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2017,8282,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2018,9088,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2019,9995,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2020,10627,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,CZ,2021,10625,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2012,19595,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2013,19582,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2014,19733,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2015,20668,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2016,21275,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2017,21920,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2018,22713,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2019,23515,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2020,26008,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DE,2021,25015,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2012,27184,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2013,27444,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2014,27861,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2015,28364,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2016,28665,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2017,29383,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2018,30104,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2019,30717,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2020,30681,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,DK,2021,32088,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2012,17481,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2013,17467,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2014,17506,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2015,17759,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2016,18239,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2017,18708,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2018,19235,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2019,19736,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA,2020,20728,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2012,17401,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2013,17389,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2014,17506,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2015,17870,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2016,18349,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2017,18816,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2018,19340,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2019,19839,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA18,2020,20829,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2012,17283,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2013,17276,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2014,17393,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2015,17759,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2016,18239,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2017,18708,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2018,19235,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2019,19736,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EA19,2020,20728,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2012,5987,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2013,6579,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2014,7217,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2015,7889,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2016,8645,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2017,9384,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2018,10524,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2019,11461,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2020,12228,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EE,2021,12623,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2012,9513,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2013,8371,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2014,7680,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2015,7520,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2016,7500,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2017,7600,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2018,7863,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2019,8195,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EL,2020,8781,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2012,13868,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2013,13524,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2014,13269,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2015,13352,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2016,13681,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2017,14203,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2018,14785,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2019,15015,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2020,16043,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,ES,2021,15892,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2012,15456,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2013,15433,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2014,15790,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2015,16138,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2016,16529,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2017,16891,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2018,17435,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU,2019,17864,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2012,15543,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2013,15522,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2014,15881,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2015,16228,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2016,16619,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2017,16979,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2018,17522,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2007,2019,17950,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2012,14924,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2013,14962,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2014,15101,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2015,15422,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2016,15847,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2017,16281,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2018,16832,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2019,17325,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU27_2020,2020,18237,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2012,15456,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2013,15433,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2014,15790,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2015,16138,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2016,16529,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2017,16891,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2018,17435,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,EU28,2019,17864,e
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,FI,2012,22699,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,FI,2013,23272,
