DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2012,59.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2013,56.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2014,58.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2015,59.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2016,59.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2017,61.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2018,64.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2019,65.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2020,64.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2021,65.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2012,58.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2013,59.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2014,60.7,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2015,62.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2016,64.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2017,66.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2018,67.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2019,68.1,
