DATAFLOW,LAST UPDATE,freq,spdep,spscheme,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2014,74.98,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2015,82.22,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2016,82.95,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2017,89.29,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2018,91.58,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,2019,93.89,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2010,739.26,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2011,752.70,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2012,776.98,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2013,796.88,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2014,809.58,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2015,830.96,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2016,832.62,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2017,836.73,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2018,822.22,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,2019,831.48,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2010,455.92,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2011,418.35,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2012,129.95,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2013,94.38,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2014,93.09,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2015,93.53,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2016,92.19,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2017,88.43,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2018,103.12,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,2019,80.61,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,2010,261.98,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,2011,243.57,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,2012,249.14,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,2013,246.75,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,2014,240.95,
